Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Área 004; 31 079 ; 15 448 ; 15 631 ;  1 641,10 ;  1 858,12 ;  1 426,62 ;   830,00 ;  1 000,00 ;   700,00 ;1200401005004
Área 005; 25 693 ; 12 867 ; 12 827 ;  1 668,43 ;  1 984,07 ;  1 351,81 ;   730,00 ;   800,00 ;   625,00 ;1200401005005
Área 006; 22 139 ; 11 735 ; 10 404 ;   923,33 ;   918,18 ;   929,13 ;   511,00 ;   650,00 ;   510,00 ;1200401005006
Área 007; 19 610 ; 10 611 ; 8 999 ;   933,69 ;  1 089,50 ;   749,98 ;   550,00 ;   700,00 ;   510,00 ;1200401005007
Área 008; 10 256 ; 6 176 ; 4 080 ;   771,52 ;   912,92 ;   557,49 ;   510,00 ;   510,00 ;   510,00 ;1200401005008
Amazonas;;;;;;;;;;
Coari; 28 901 ; 15 228 ; 13 673 ;   826,61 ;  1 017,93 ;   613,53 ;   510,00 ;   510,00 ;   510,00 ;1301209
Área 001; 12 814 ; 7 104 ; 5 711 ;   606,58 ;   703,16 ;   486,44 ;   500,00 ;   500,00 ;   362,00 ;1301209003001
Área 002; 16 087 ; 8 125 ; 7 962 ;  1 001,88 ;  1 293,13 ;   704,69 ;   511,00 ;   650,00 ;   510,00 ;1301209003002
Humaitá; 17 420 ; 9 621 ; 7 800 ;   938,42 ;  1 174,49 ;   647,22 ;   510,00 ;   510,00 ;   510,00 ;1301704
Área 001; 9 173 ; 5 087 ; 4 087 ;  1 027,01 ;  1 242,45 ;   758,86 ;   510,00 ;   622,00 ;   510,00 ;1301704003001
Área 002; 8 247 ; 4 534 ; 3 713 ;   839,88 ;  1 098,26 ;   524,33 ;   510,00 ;   510,00 ;   400,00 ;1301704003002
Iranduba; 16 901 ; 9 448 ; 7 452 ;   783,70 ;   968,30 ;   549,65 ;   510,00 ;   510,00 ;   510,00 ;1301852
Área 001; 7 962 ; 4 246 ; 3 716 ;   661,61 ;   806,27 ;   496,28 ;   510,00 ;   510,00 ;   510,00 ;1301852003001
Área 002; 8 939 ; 5 202 ; 3 737 ;   892,46 ;  1 100,57 ;   602,72 ;   510,00 ;   510,00 ;   510,00 ;1301852003002
Itacoatiara; 38 777 ; 20 651 ; 18 126 ;   814,82 ;   944,82 ;   666,72 ;   510,00 ;   510,00 ;   510,00 ;1301902
Área 001; 7 240 ; 4 180 ; 3 061 ;   817,41 ;   894,64 ;   711,95 ;   510,00 ;   510,00 ;   500,00 ;1301902003001
Área 002; 13 074 ; 7 005 ; 6 069 ;   596,98 ;   708,75 ;   467,97 ;   510,00 ;   510,00 ;   400,00 ;1301902003002
Área 003; 18 463 ; 9 466 ; 8 997 ;   968,06 ;  1 141,68 ;   785,39 ;   510,00 ;   600,00 ;   510,00 ;1301902003003
Manacapuru; 37 737 ; 21 250 ; 16 487 ;   755,73 ;   897,49 ;   573,02 ;   510,00 ;   510,00 ;   510,00 ;1302504
Área 001; 9 157 ; 5 183 ; 3 974 ;   946,37 ;  1 166,69 ;   659,04 ;   510,00 ;   510,00 ;   510,00 ;1302504003001
Área 002; 13 034 ; 7 691 ; 5 343 ;   667,56 ;   797,76 ;   480,15 ;   500,00 ;   510,00 ;   350,00 ;1302504003002
