Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Taquara 2; 16 365 ; 8 122 ; 8 243 ;  2 687,88 ;  2 374,77 ;  2 996,40 ;  1 020,00 ;  1 400,00 ;  1 000,00 ;3304557005151
Taquara 3; 22 864 ; 11 834 ; 11 029 ;  1 862,50 ;  2 158,52 ;  1 544,89 ;  1 020,00 ;  1 220,00 ;   900,00 ;3304557005152
Tauá; 17 124 ; 8 525 ; 8 599 ;  1 557,04 ;  1 894,10 ;  1 222,85 ;   895,00 ;  1 000,00 ;   650,00 ;3304557005123
Tijuca 1; 15 200 ; 7 374 ; 7 826 ;  3 342,85 ;  3 967,80 ;  2 753,99 ;  1 200,00 ;  1 300,00 ;  1 000,00 ;3304557005057
Tijuca 2; 17 775 ; 7 641 ; 10 133 ;  4 293,10 ;  5 294,42 ;  3 538,04 ;  2 800,00 ;  3 400,00 ;  2 500,00 ;3304557005058
Tijuca 3; 20 337 ; 9 180 ; 11 158 ;  3 465,66 ;  4 264,25 ;  2 808,66 ;  1 500,00 ;  2 000,00 ;  1 440,00 ;3304557005059
Tijuca 4; 21 984 ; 9 657 ; 12 327 ;  5 772,88 ;  6 680,84 ;  5 061,56 ;  2 700,00 ;  3 000,00 ;  2 300,00 ;3304557005060
Tijuca 5; 15 617 ; 6 697 ; 8 919 ;  5 295,12 ;  6 896,43 ;  4 092,72 ;  2 550,00 ;  3 700,00 ;  2 400,00 ;3304557005061
Tijuca e Alto da Boa Vista; 15 891 ; 7 310 ; 8 581 ;  2 819,67 ;  3 331,04 ;  2 384,08 ;  1 500,00 ;  2 000,00 ;  1 200,00 ;3304557005055
Tijuca e Praça da Bandeira; 21 034 ; 9 318 ; 11 717 ;  4 500,73 ;  5 110,72 ;  4 015,66 ;  2 500,00 ;  3 000,00 ;  2 200,00 ;3304557005056
Todos Os Santos; 17 525 ; 8 199 ; 9 326 ;  2 957,25 ;  3 559,30 ;  2 427,92 ;  2 000,00 ;  2 500,00 ;  1 500,00 ;3304557005093
Tomás Coelho; 14 126 ; 7 087 ; 7 039 ;  1 320,75 ;  1 520,29 ;  1 119,83 ;   950,00 ;  1 000,00 ;   800,00 ;3304557005086
Turiaçú e Vaz Lobo; 19 061 ; 9 923 ; 9 138 ;  1 340,31 ;  1 581,90 ;  1 077,99 ;   800,00 ;  1 000,00 ;   700,00 ;3304557005112
Vargem Pequena, Vargem Grande e Camorim; 21 104 ; 11 384 ; 9 721 ;  1 626,24 ;  1 862,27 ;  1 349,83 ;   800,00 ;   900,00 ;   670,00 ;3304557005165
Vicente de Carvalho e Vila Kosmos; 26 310 ; 13 045 ; 13 265 ;  1 458,02 ;  1 693,29 ;  1 226,66 ;   900,00 ;  1 000,00 ;   790,00 ;3304557005101
Vidigal e São Conrado; 14 529 ; 7 102 ; 7 426 ;  4 675,82 ;  6 370,73 ;  3 054,89 ;  1 020,00 ;  1 300,00 ;  1 000,00 ;3304557005052
Vigário Geral; 20 334 ; 10 505 ; 9 829 ;  1 045,34 ;  1 192,58 ;   887,98 ;   690,00 ;   800,00 ;   578,00 ;3304557005081
Vila da Penha; 17 630 ; 8 350 ; 9 279 ;  2 332,90 ;  2 705,43 ;  1 997,67 ;  1 500,00 ;  1 600,00 ;  1 200,00 ;3304557005100
Vila Isabel 1; 17 398 ; 8 199 ; 9 199 ;  1 090,83 ;  1 198,53 ;   994,84 ;   700,00 ;   780,00 ;   600,00 ;3304557005063
Vila Isabel 2; 25 312 ; 11 153 ; 14 160 ;  3 295,36 ;  3 683,36 ;  2 989,76 ;  2 000,00 ;  2 500,00 ;  1 800,00 ;3304557005064
Vila Isabel 3; 16 711 ; 7 498 ; 9 213 ;  4 703,74 ;  5 274,11 ;  4 239,50 ;  2 500,00 ;  2 700,00 ;  2 000,00 ;3304557005065
Vila Valqueire; 19 927 ; 9 868 ; 10 059 ;  2 576,36 ;  3 156,12 ;  2 007,62 ;  1 600,00 ;  2 000,00 ;  1 500,00 ;3304557005156
Santo Antônio de Pádua; 24 791 ; 13 818 ; 10 974 ;  1 055,72 ;  1 225,06 ;   842,48 ;   510,00 ;   600,00 ;   510,00 ;3304706
Área 001; 11 895 ; 7 075 ; 4 819 ;   783,26 ;   879,57 ;   641,87 ;   510,00 ;   510,00 ;   510,00 ;3304706003001
Área 002; 12 897 ; 6 742 ; 6 154 ;  1 307,00 ;  1 587,60 ;   999,59 ;   600,00 ;   800,00 ;   510,00 ;3304706003002
São Fidélis; 23 080 ; 12 690 ; 10 390 ;   906,38 ;  1 014,12 ;   774,79 ;   510,00 ;   600,00 ;   510,00 ;3304805
Área 001; 10 959 ; 5 600 ; 5 359 ;  1 096,26 ;  1 292,09 ;   891,59 ;   590,00 ;   700,00 ;   510,00 ;3304805003001
Área 002; 12 121 ; 7 090 ; 5 031 ;   734,71 ;   794,56 ;   650,37 ;   510,00 ;   510,00 ;   510,00 ;3304805003002
São Francisco de Itabapoana; 21 359 ; 12 228 ; 9 131 ;   684,17 ;   800,60 ;   528,26 ;   510,00 ;   510,00 ;   510,00 ;3304755
Área 001; 9 495 ; 5 375 ; 4 120 ;   779,42 ;   914,48 ;   603,25 ;   510,00 ;   510,00 ;   510,00 ;3304755003001
Área 002; 11 864 ; 6 854 ; 5 011 ;   607,94 ;   711,30 ;   466,58 ;   510,00 ;   510,00 ;   510,00 ;3304755003002
São Gonçalo; 577 655 ; 303 203 ; 274 452 ;  1 107,93 ;  1 316,40 ;   877,62 ;   750,00 ;   900,00 ;   600,00 ;3304904
Ipiiba; 106 361 ; 56 662 ; 49 698 ;   971,66 ;  1 142,27 ;   777,15 ;   700,00 ;   800,00 ;   540,00 ;3304904005002
Monjolos; 123 740 ; 66 755 ; 56 985 ;   914,54 ;  1 096,27 ;   701,66 ;   650,00 ;   800,00 ;   510,00 ;3304904005003
Neves; 97 660 ; 50 821 ; 46 839 ;  1 224,80 ;  1 444,99 ;   985,90 ;   800,00 ;  1 000,00 ;   650,00 ;3304904005004
São Gonçalo; 201 654 ; 104 408 ; 97 245 ;  1 219,88 ;  1 471,40 ;   949,84 ;   800,00 ;  1 000,00 ;   600,00 ;3304904005001
Sete Pontes; 48 240 ; 24 557 ; 23 684 ;  1 199,83 ;  1 391,43 ;  1 001,17 ;   710,00 ;   900,00 ;   600,00 ;3304904005005
São João de Meriti; 255 787 ; 135 738 ; 120 049 ;  1 019,59 ;  1 193,35 ;   823,11 ;   700,00 ;   811,00 ;   600,00 ;3305109
Área 002; 31 125 ; 16 421 ; 14 704 ;   936,07 ;  1 083,54 ;   771,37 ;   700,00 ;   800,00 ;   588,00 ;3305109005002
Área 003; 39 466 ; 21 433 ; 18 033 ;   894,89 ;  1 047,40 ;   713,64 ;   630,00 ;   800,00 ;   510,00 ;3305109005003
Área 004; 57 449 ; 30 024 ; 27 425 ;  1 105,33 ;  1 292,42 ;   900,51 ;   786,00 ;   960,00 ;   600,00 ;3305109005004
Área 005; 68 101 ; 36 062 ; 32 039 ;  1 039,85 ;  1 209,06 ;   849,38 ;   700,00 ;   810,00 ;   600,00 ;3305109005005
Área Principal; 59 645 ; 31 798 ; 27 847 ;  1 039,96 ;  1 237,08 ;   814,88 ;   700,00 ;   800,00 ;   580,00 ;3305109005001
São Pedro da Aldeia; 49 490 ; 27 562 ; 21 927 ;  1 238,92 ;  1 445,96 ;   978,67 ;   700,00 ;   800,00 ;   510,00 ;3305208
Área 001; 8 544 ; 4 454 ; 4 090 ;  1 556,73 ;  1 753,77 ;  1 342,12 ;   800,00 ;  1 000,00 ;   622,00 ;3305208003001
Área 002; 11 404 ; 6 321 ; 5 083 ;  1 118,41 ;  1 307,40 ;   883,41 ;   600,00 ;   800,00 ;   510,00 ;3305208003002
Área 003; 13 890 ; 7 798 ; 6 091 ;   982,03 ;  1 093,36 ;   839,50 ;   600,00 ;   715,00 ;   510,00 ;3305208003003
Área 004; 15 652 ; 8 989 ; 6 663 ;  1 381,20 ;  1 696,75 ;   955,48 ;   750,00 ;  1 000,00 ;   580,00 ;3305208003004
Saquarema; 41 817 ; 22 817 ; 19 000 ;  1 148,05 ;  1 298,97 ;   966,81 ;   600,00 ;   800,00 ;   510,00 ;3305505
Área 001; 7 527 ; 3 949 ; 3 578 ;  1 407,52 ;  1 546,70 ;  1 253,92 ;   800,00 ;  1 000,00 ;   600,00 ;3305505003001
Área 002; 8 146 ; 4 386 ; 3 760 ;  1 596,66 ;  1 767,65 ;  1 397,16 ;   800,00 ;  1 000,00 ;   600,00 ;3305505003002
Área 003; 12 384 ; 6 911 ; 5 473 ;   862,93 ;   981,01 ;   713,83 ;   535,00 ;   620,00 ;   510,00 ;3305505003003
Área 004; 13 760 ; 7 571 ; 6 189 ;   997,17 ;  1 188,48 ;   763,13 ;   600,00 ;   800,00 ;   510,00 ;3305505003004
Seropédica; 44 493 ; 24 598 ; 19 895 ;  1 027,03 ;  1 229,73 ;   776,42 ;   600,00 ;   800,00 ;   510,00 ;3305554
Área 001; 10 501 ; 5 747 ; 4 754 ;   877,08 ;  1 058,78 ;   657,41 ;   600,00 ;   700,00 ;   510,00 ;3305554003001
Área 002; 8 059 ; 4 702 ; 3 357 ;   976,22 ;  1 147,29 ;   736,60 ;   700,00 ;   860,00 ;   515,00 ;3305554003002
Área 003; 12 857 ; 6 932 ; 5 925 ;  1 351,74 ;  1 656,17 ;   995,58 ;   715,00 ;   900,00 ;   550,00 ;3305554003003
Área 004; 13 077 ; 7 217 ; 5 860 ;   859,53 ;  1 010,00 ;   674,19 ;   600,00 ;   700,00 ;   510,00 ;3305554003004
Teresópolis; 99 777 ; 51 492 ; 48 285 ;  1 361,35 ;  1 585,30 ;  1 122,53 ;   700,00 ;   800,00 ;   550,00 ;3305802
Área 001; 8 242 ; 4 117 ; 4 126 ;  1 913,66 ;  2 174,45 ;  1 653,45 ;  1 000,00 ;  1 000,00 ;   800,00 ;3305802003001
Área 002; 8 422 ; 4 339 ; 4 083 ;   778,02 ;   915,40 ;   632,01 ;   510,00 ;   700,00 ;   510,00 ;3305802003002
Área 003; 10 394 ; 5 213 ; 5 181 ;  1 860,52 ;  2 176,80 ;  1 542,30 ;  1 000,00 ;  1 020,00 ;   750,00 ;3305802003003
Área 004; 8 459 ; 4 074 ; 4 384 ;  1 072,02 ;  1 305,90 ;   854,67 ;   700,00 ;   800,00 ;   565,00 ;3305802003004
Área 005; 19 381 ; 10 887 ; 8 494 ;   821,08 ;   937,36 ;   672,06 ;   510,00 ;   550,00 ;   510,00 ;3305802003005
Área 006; 7 489 ; 3 518 ; 3 971 ;  2 184,00 ;  2 536,55 ;  1 871,70 ;  1 020,00 ;  1 200,00 ;  1 000,00 ;3305802003006
Área 007; 9 157 ; 4 711 ; 4 447 ;  1 306,52 ;  1 538,24 ;  1 061,02 ;   700,00 ;   800,00 ;   590,00 ;3305802003007
Área 008; 13 913 ; 7 322 ; 6 591 ;  1 049,55 ;  1 212,53 ;   868,50 ;   600,00 ;   800,00 ;   510,00 ;3305802003008
Área 009; 14 319 ; 7 312 ; 7 007 ;  1 834,17 ;  2 295,85 ;  1 352,42 ;   800,00 ;  1 000,00 ;   690,00 ;3305802003009
Três Rios; 46 119 ; 23 894 ; 22 225 ;  1 185,77 ;  1 391,63 ;   964,46 ;   640,00 ;   800,00 ;   528,00 ;3306008
Área 001; 9 643 ; 4 699 ; 4 944 ;  1 728,53 ;  2 134,16 ;  1 342,93 ;   900,00 ;  1 020,00 ;   740,00 ;3306008003001
Área 002; 9 812 ; 5 396 ; 4 416 ;  1 018,29 ;  1 138,75 ;   871,09 ;   560,00 ;   697,00 ;   510,00 ;3306008003002
Área 003; 12 366 ; 6 183 ; 6 183 ;  1 241,06 ;  1 511,69 ;   970,41 ;   700,00 ;   900,00 ;   570,00 ;3306008003003
Área 004; 14 299 ; 7 615 ; 6 684 ;   886,85 ;  1 015,13 ;   740,69 ;   560,00 ;   700,00 ;   510,00 ;3306008003004
Valença; 44 530 ; 22 744 ; 21 786 ;  1 073,91 ;  1 235,82 ;   904,88 ;   600,00 ;   660,00 ;   510,00 ;3306107
Área 001; 11 040 ; 5 522 ; 5 518 ;  1 192,85 ;  1 313,64 ;  1 071,96 ;   650,00 ;   750,00 ;   600,00 ;3306107003001
Área 002; 16 985 ; 7 942 ; 9 043 ;  1 209,56 ;  1 480,76 ;   971,38 ;   650,00 ;   800,00 ;   532,00 ;3306107003002
Área 003; 16 506 ; 9 280 ; 7 226 ;   854,76 ;   979,87 ;   694,10 ;   510,00 ;   586,00 ;   510,00 ;3306107003003
Vassouras; 21 247 ; 10 849 ; 10 398 ;  1 091,75 ;  1 200,79 ;   977,98 ;   600,00 ;   700,00 ;   510,00 ;3306206
Área 001; 10 441 ; 5 634 ; 4 807 ;   767,42 ;   834,75 ;   688,51 ;   510,00 ;   565,00 ;   510,00 ;3306206003001
Área 002; 10 805 ; 5 214 ; 5 591 ;  1 405,14 ;  1 596,29 ;  1 226,87 ;   750,00 ;   982,00 ;   580,00 ;3306206003002
Volta Redonda; 157 386 ; 82 925 ; 74 461 ;  1 480,62 ;  1 789,55 ;  1 136,58 ;   849,00 ;  1 020,00 ;   600,00 ;3306305
Área 001; 16 798 ; 8 428 ; 8 369 ;  1 341,31 ;  1 674,06 ;  1 006,21 ;   920,00 ;  1 200,00 ;   700,00 ;3306305005001
Área 002; 19 922 ; 9 579 ; 10 343 ;  2 201,79 ;  2 727,99 ;  1 714,44 ;  1 200,00 ;  1 510,00 ;  1 000,00 ;3306305005002
Área 003; 16 697 ; 8 910 ; 7 787 ;  1 703,07 ;  2 034,21 ;  1 324,18 ;   900,00 ;  1 020,00 ;   600,00 ;3306305005003
Área 004; 12 650 ; 6 835 ; 5 815 ;  2 584,04 ;  3 217,07 ;  1 839,91 ;  1 200,00 ;  1 500,00 ;   900,00 ;3306305005004
Área 005; 15 339 ; 8 079 ; 7 260 ;  1 048,95 ;  1 277,88 ;   794,16 ;   700,00 ;   900,00 ;   512,00 ;3306305005005
Área 006; 11 063 ; 5 700 ; 5 363 ;  2 040,15 ;  2 432,85 ;  1 622,81 ;  1 300,00 ;  1 515,00 ;  1 020,00 ;3306305005006
Área 007; 17 831 ; 9 974 ; 7 856 ;   872,19 ;  1 041,34 ;   657,43 ;   660,00 ;   810,00 ;   510,00 ;3306305005007
Área 008; 20 215 ; 10 816 ; 9 400 ;  1 118,55 ;  1 350,75 ;   851,37 ;   720,00 ;   980,00 ;   530,00 ;3306305005008
Área 009; 9 779 ; 5 368 ; 4 411 ;   786,51 ;   961,21 ;   573,91 ;   600,00 ;   800,00 ;   510,00 ;3306305005009
Área 010; 17 092 ; 9 235 ; 7 857 ;  1 228,31 ;  1 482,98 ;   928,98 ;   800,00 ;  1 020,00 ;   600,00 ;3306305005010
São Paulo;;;;;;;;;;
Adamantina; 22 679 ; 11 836 ; 10 843 ;  1 427,73 ;  1 844,11 ;   973,21 ;   715,00 ;   900,00 ;   600,00 ;3500105
Área 001; 7 821 ; 4 016 ; 3 804 ;  1 471,85 ;  1 867,92 ;  1 053,71 ;   800,00 ;  1 000,00 ;   600,00 ;3500105003001
Área 002; 14 858 ; 7 820 ; 7 038 ;  1 404,51 ;  1 831,88 ;   929,70 ;   700,00 ;   880,00 ;   600,00 ;3500105003002
Agudos; 21 303 ; 11 324 ; 9 979 ;  1 009,82 ;  1 151,16 ;   849,45 ;   700,00 ;   865,00 ;   600,00 ;3500709
Área 001; 9 069 ; 4 909 ; 4 160 ;   807,32 ;   966,69 ;   619,25 ;   650,00 ;   800,00 ;   560,00 ;3500709003001
Área 002; 12 234 ; 6 414 ; 5 819 ;  1 159,94 ;  1 292,35 ;  1 014,00 ;   800,00 ;   950,00 ;   700,00 ;3500709003002
Americana; 139 455 ; 75 020 ; 64 434 ;  1 707,56 ;  2 085,24 ;  1 267,83 ;  1 000,00 ;  1 200,00 ;   800,00 ;3501608
Centro; 7 617 ; 3 708 ; 3 909 ;  3 003,85 ;  4 015,29 ;  2 044,38 ;  1 500,00 ;  2 000,00 ;  1 200,00 ;3501608005001
Cidade Jardim; 17 105 ; 9 357 ; 7 748 ;  1 353,14 ;  1 623,49 ;  1 026,65 ;  1 000,00 ;  1 110,00 ;   700,00 ;3501608005010
Ipiranga-Jd São Paulo; 11 910 ; 6 211 ; 5 699 ;  2 544,87 ;  3 187,73 ;  1 844,20 ;  1 300,00 ;  1 500,00 ;  1 000,00 ;3501608005008
Praia Azul; 8 550 ; 4 791 ; 3 759 ;  1 586,78 ;  1 993,78 ;  1 067,94 ;   800,00 ;   990,00 ;   700,00 ;3501608005003
São Domingos-Amorim; 10 243 ; 5 356 ; 4 887 ;  1 875,30 ;  2 338,91 ;  1 367,21 ;  1 200,00 ;  1 500,00 ;   900,00 ;3501608005007
São Jeronimo; 22 926 ; 12 435 ; 10 491 ;  1 196,30 ;  1 417,60 ;   933,98 ;   900,00 ;  1 080,00 ;   700,00 ;3501608005006
São Luiz-Colina; 15 365 ; 8 422 ; 6 943 ;  2 085,15 ;  2 560,44 ;  1 508,61 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3501608005005
São Vito-Cordenonsi; 20 877 ; 11 456 ; 9 421 ;  1 606,75 ;  1 918,92 ;  1 227,17 ;  1 000,00 ;  1 220,00 ;   800,00 ;3501608005004
Vila Galo; 8 405 ; 4 269 ; 4 137 ;  1 872,87 ;  2 361,12 ;  1 369,03 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3501608005009
Zanaga; 16 457 ; 9 015 ; 7 442 ;  1 231,48 ;  1 466,69 ;   946,55 ;   900,00 ;  1 050,00 ;   750,00 ;3501608005002
Américo Brasiliense; 19 788 ; 11 828 ; 7 960 ;  1 134,18 ;  1 360,90 ;   797,28 ;   800,00 ;  1 000,00 ;   600,00 ;3501707
Área 001; 8 446 ; 5 069 ; 3 377 ;  1 048,72 ;  1 305,20 ;   663,68 ;   800,00 ;  1 000,00 ;   600,00 ;3501707003001
Área 002; 11 342 ; 6 759 ; 4 583 ;  1 197,82 ;  1 402,68 ;   895,72 ;   900,00 ;  1 000,00 ;   630,00 ;3501707003002
Amparo; 44 711 ; 23 879 ; 20 832 ;  1 473,19 ;  1 710,22 ;  1 201,50 ;   850,00 ;  1 000,00 ;   700,00 ;3501905
Área 001; 8 738 ; 4 833 ; 3 904 ;  1 233,21 ;  1 442,50 ;   974,13 ;   800,00 ;   900,00 ;   680,00 ;3501905003001
Área 002; 14 806 ; 8 065 ; 6 740 ;  1 203,55 ;  1 529,93 ;   813,00 ;   800,00 ;   980,00 ;   667,00 ;3501905003002
Área 003; 21 168 ; 10 980 ; 10 188 ;  1 760,84 ;  1 960,49 ;  1 545,67 ;  1 000,00 ;  1 030,00 ;   800,00 ;3501905003003
Andradina; 35 343 ; 18 902 ; 16 441 ;  1 397,20 ;  1 806,38 ;   926,77 ;   800,00 ;  1 000,00 ;   600,00 ;3502101
Área 001; 7 774 ; 4 617 ; 3 157 ;  1 028,78 ;  1 211,79 ;   761,08 ;   750,00 ;   900,00 ;   510,00 ;3502101003001
Área 002; 11 231 ; 5 670 ; 5 561 ;  1 826,61 ;  2 485,26 ;  1 155,00 ;   900,00 ;  1 020,00 ;   700,00 ;3502101003002
Área 003; 16 338 ; 8 614 ; 7 724 ;  1 277,31 ;  1 678,22 ;   830,16 ;   750,00 ;  1 000,00 ;   600,00 ;3502101003003
Aparecida; 22 287 ; 11 336 ; 10 951 ;  1 182,73 ;  1 394,08 ;   963,95 ;   700,00 ;   800,00 ;   600,00 ;3502507
Área 001; 9 664 ; 4 798 ; 4 866 ;  1 169,76 ;  1 418,50 ;   924,49 ;   700,00 ;   810,00 ;   600,00 ;3502507003001
Área 002; 12 623 ; 6 538 ; 6 085 ;  1 192,66 ;  1 376,16 ;   995,50 ;   700,00 ;   800,00 ;   600,00 ;3502507003002
Araçatuba; 116 377 ; 61 093 ; 55 284 ;  1 544,52 ;  1 863,31 ;  1 192,23 ;   800,00 ;  1 000,00 ;   695,00 ;3502804
Área 001; 8 192 ; 4 697 ; 3 495 ;  1 446,24 ;  1 718,07 ;  1 080,87 ;   800,00 ;   900,00 ;   600,00 ;3502804003001
Área 002; 8 693 ; 4 282 ; 4 411 ;  1 121,58 ;  1 268,92 ;   978,53 ;   800,00 ;   900,00 ;   670,00 ;3502804003002
Área 003; 14 945 ; 7 739 ; 7 207 ;  1 013,23 ;  1 220,27 ;   790,91 ;   780,00 ;   900,00 ;   600,00 ;3502804003003
Área 004; 9 644 ; 4 961 ; 4 683 ;  1 310,14 ;  1 577,02 ;  1 027,45 ;   860,00 ;  1 000,00 ;   700,00 ;3502804003004
Área 005; 8 621 ; 4 803 ; 3 818 ;  1 004,92 ;  1 207,83 ;   749,70 ;   700,00 ;   800,00 ;   600,00 ;3502804003005
Área 006; 7 823 ; 4 402 ; 3 420 ;   994,91 ;  1 135,04 ;   814,55 ;   750,00 ;   900,00 ;   600,00 ;3502804003006
Área 007; 9 802 ; 5 395 ; 4 407 ;   972,81 ;  1 149,81 ;   756,12 ;   710,00 ;   810,00 ;   600,00 ;3502804003007
Área 008; 8 868 ; 4 647 ; 4 221 ;  1 633,77 ;  1 986,78 ;  1 245,09 ;   908,00 ;  1 100,00 ;   800,00 ;3502804003008
Área 009; 7 578 ; 4 075 ; 3 503 ;  1 564,62 ;  1 786,42 ;  1 306,59 ;   900,00 ;  1 000,00 ;   700,00 ;3502804003009
Área 010; 13 485 ; 6 778 ; 6 707 ;  1 858,58 ;  2 352,16 ;  1 359,78 ;   808,00 ;  1 000,00 ;   700,00 ;3502804003010
Área 011; 18 727 ; 9 313 ; 9 413 ;  2 829,27 ;  3 608,53 ;  2 058,24 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3502804003011
Araraquara; 134 979 ; 70 618 ; 64 361 ;  1 629,43 ;  1 936,60 ;  1 292,40 ;   980,00 ;  1 100,00 ;   750,00 ;3503208
Carmo-São José; 9 762 ; 5 049 ; 4 712 ;  2 029,90 ;  2 494,10 ;  1 532,48 ;  1 200,00 ;  1 450,00 ;  1 000,00 ;3503208005003
Centro-São Geraldo; 8 417 ; 3 803 ; 4 614 ;  3 401,12 ;  3 991,07 ;  2 914,86 ;  1 800,00 ;  2 065,00 ;  1 500,00 ;3503208005004
Jardim América-Jd.Das Estações; 7 980 ; 4 197 ; 3 783 ;  1 168,90 ;  1 369,84 ;   945,95 ;   850,00 ;  1 000,00 ;   700,00 ;3503208005011
Jardim Botânico-Jardim Vale das Roseiras-Jardim Imperador; 9 883 ; 5 161 ; 4 723 ;  2 195,85 ;  2 802,29 ;  1 533,20 ;  1 200,00 ;  1 500,00 ;  1 000,00 ;3503208005014
Jardim Roberto Selmi Dei-Jardim São Rafael; 9 473 ; 5 088 ; 4 385 ;   971,78 ;  1 132,46 ;   785,35 ;   745,00 ;   900,00 ;   600,00 ;3503208005013
Jardim Universal-Vila Santana; 8 424 ; 4 201 ; 4 223 ;  1 791,99 ;  2 157,51 ;  1 428,35 ;  1 000,00 ;  1 230,00 ;   900,00 ;3503208005001
Núcleo Residencial Yolanda Ópice-Parque das Hortências-Jardim Del Rey; 10 037 ; 5 436 ; 4 601 ;   891,95 ;  1 069,92 ;   681,65 ;   700,00 ;   800,00 ;   590,00 ;3503208005008
Parque Gramado-Parque Residencial São Paulo; 9 479 ; 5 142 ; 4 337 ;  1 016,51 ;  1 235,39 ;   757,04 ;   800,00 ;   900,00 ;   650,00 ;3503208005012
Parque Residencial Iguatemi-Jardim Victório Antônio de Santi; 8 886 ; 4 737 ; 4 149 ;  1 144,38 ;  1 416,85 ;   833,33 ;   800,00 ;  1 000,00 ;   600,00 ;3503208005007
Parque Residencial Vale do Sol; 8 445 ; 4 341 ; 4 103 ;  1 132,46 ;  1 370,03 ;   881,10 ;   850,00 ;  1 000,00 ;   660,00 ;3503208005002
Rural; 8 343 ; 4 905 ; 3 438 ;  1 361,23 ;  1 605,76 ;  1 012,42 ;   800,00 ;  1 000,00 ;   600,00 ;3503208005015
Santa Angelina-Vila Harmonia; 10 440 ; 5 241 ; 5 199 ;  2 307,40 ;  2 808,04 ;  1 802,68 ;  1 300,00 ;  1 500,00 ;  1 020,00 ;3503208005005
Vila Melhado-Jardim Martinez; 8 012 ; 4 374 ; 3 638 ;  1 775,63 ;  2 111,16 ;  1 372,16 ;  1 100,00 ;  1 500,00 ;   850,00 ;3503208005006
Vila Xavier; 8 111 ; 4 159 ; 3 951 ;  1 632,09 ;  1 847,39 ;  1 405,46 ;  1 000,00 ;  1 200,00 ;   800,00 ;3503208005010
Vila Xavier-Jardim Brasil; 9 288 ; 4 783 ; 4 505 ;  1 608,09 ;  2 009,39 ;  1 182,02 ;  1 000,00 ;  1 200,00 ;   800,00 ;3503208005009
Araras; 73 778 ; 40 378 ; 33 400 ;  1 458,41 ;  1 793,95 ;  1 052,78 ;   900,00 ;  1 020,00 ;   700,00 ;3503307
Área 001; 8 383 ; 4 603 ; 3 780 ;  1 883,70 ;  2 358,09 ;  1 306,13 ;  1 100,00 ;  1 500,00 ;   850,00 ;3503307003001
Área 002; 8 913 ; 4 910 ; 4 004 ;   833,03 ;  1 015,27 ;   609,54 ;   700,00 ;   851,00 ;   560,00 ;3503307003002
Área 003; 9 942 ; 5 442 ; 4 500 ;  1 508,06 ;  1 817,03 ;  1 134,39 ;   900,00 ;  1 100,00 ;   690,00 ;3503307003003
Área 004; 11 619 ; 6 625 ; 4 993 ;  1 070,24 ;  1 290,61 ;   777,84 ;   800,00 ;   980,00 ;   600,00 ;3503307003004
Área 005; 9 070 ; 4 875 ; 4 195 ;  1 240,93 ;  1 494,51 ;   946,30 ;   800,00 ;  1 000,00 ;   690,00 ;3503307003005
Área 006; 13 008 ; 7 413 ; 5 595 ;  1 171,79 ;  1 395,92 ;   874,80 ;   840,00 ;  1 000,00 ;   680,00 ;3503307003006
Área 007; 12 843 ; 6 510 ; 6 333 ;  2 371,49 ;  3 152,81 ;  1 568,30 ;  1 227,00 ;  1 600,00 ;  1 000,00 ;3503307003007
Artur Nogueira; 27 857 ; 15 405 ; 12 451 ;  1 284,74 ;  1 543,45 ;   964,65 ;   800,00 ;  1 000,00 ;   630,00 ;3503802
Área 001; 13 525 ; 7 588 ; 5 937 ;  1 100,77 ;  1 322,85 ;   816,95 ;   700,00 ;   840,00 ;   600,00 ;3503802003001
Área 002; 14 332 ; 7 818 ; 6 514 ;  1 458,36 ;  1 757,58 ;  1 099,26 ;   900,00 ;  1 100,00 ;   700,00 ;3503802003002
Arujá; 41 498 ; 22 886 ; 18 612 ;  1 572,63 ;  1 912,15 ;  1 155,14 ;   800,00 ;  1 000,00 ;   700,00 ;3503901
Área 001; 8 650 ; 4 522 ; 4 128 ;  1 395,19 ;  1 817,68 ;   932,31 ;   800,00 ;  1 000,00 ;   600,00 ;3503901003001
Área 002; 16 401 ; 9 159 ; 7 242 ;  2 118,58 ;  2 566,30 ;  1 552,37 ;   900,00 ;  1 000,00 ;   750,00 ;3503901003002
Área 003; 16 447 ; 9 205 ; 7 242 ;  1 121,55 ;  1 307,72 ;   884,91 ;   800,00 ;  1 000,00 ;   600,00 ;3503901003003
Assis; 61 135 ; 31 719 ; 29 416 ;  1 446,74 ;  1 685,93 ;  1 188,83 ;   800,00 ;  1 000,00 ;   700,00 ;3504008
Área 001; 8 888 ; 4 676 ; 4 212 ;  1 475,54 ;  1 819,58 ;  1 093,58 ;   964,00 ;  1 010,00 ;   740,00 ;3504008003001
Área 002; 18 394 ; 9 846 ; 8 548 ;   916,50 ;  1 082,06 ;   725,80 ;   700,00 ;   800,00 ;   510,00 ;3504008003002
